Type of Traveler,Route Point,Airport Code,Trips,Source Row Number,Row ID,Passenger Email,Purchase Date,Travel Date,Passenger ID,Airline,Ticket Price,Route,Ticket Type,Person,Person-1,Ticket Price-1,Airport Code-1,Airport Name,Latitude,Longitude
Casual,Origin,DFW,9,1,4144,ekiefer@vizpainter.com,2021/1/10,2021/2/6,EH-14125,United,184,DFW-CMH,Economy,Eileen Kiefer,Eileen Kiefer,148.222222222,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,CMH,9,1,4144,ekiefer@vizpainter.com,2021/1/10,2021/2/6,EH-14125,United,184,DFW-CMH,Economy,Eileen Kiefer,Eileen Kiefer,148.222222222,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,7,2,9102,abarton@vizpainter.com,2019/9/10,2019/11/12,AB-10105,American Airlines,214,DFW-CMH,Economy,Adrian Barton,Adrian Barton,150.857142857,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,CMH,7,2,9102,abarton@vizpainter.com,2019/9/10,2019/11/12,AB-10105,American Airlines,214,DFW-CMH,Economy,Adrian Barton,Adrian Barton,150.857142857,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,10,3,2194,achung@vizpainter.com,2020/10/22,2020/12/17,AP-10915,United,199,DFW-COS,Economy,Anna Chung,Anna Chung,148.7,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,COS,10,3,2194,achung@vizpainter.com,2020/10/22,2020/12/17,AP-10915,United,199,DFW-COS,Economy,Anna Chung,Anna Chung,148.7,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Infrequent,Origin,DFW,1,4,6695,svernon@vizpainter.com,2020/6/7,2020/8/30,SS-20515,Delta,293,DFW-HIO,Economy,Seth Vernon,Seth Vernon,293,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,HIO,1,4,6695,svernon@vizpainter.com,2020/6/7,2020/8/30,SS-20515,Delta,293,DFW-HIO,Economy,Seth Vernon,Seth Vernon,293,HIO,Portland Hillsboro Airport,45.540401,-122.949997
Casual,Origin,DFW,5,5,710,dbolton@vizpainter.com,2018/9/28,2018/12/4,DP-13165,Delta,200,DFW-SEA,Economy,Dennis Bolton,Dennis Bolton,162.8,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SEA,5,5,710,dbolton@vizpainter.com,2018/9/28,2018/12/4,DP-13165,Delta,200,DFW-SEA,Economy,Dennis Bolton,Dennis Bolton,162.8,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Extreme,Origin,DFW,16,6,14,hkirkland@vizpainter.com,2020/10/25,2020/12/10,IM-15070,United,153,DFW-SEA,Economy,Heather Kirkland,Heather Kirkland,129.6875,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Extreme,Destination,SEA,16,6,14,hkirkland@vizpainter.com,2020/10/25,2020/12/10,IM-15070,United,153,DFW-SEA,Economy,Heather Kirkland,Heather Kirkland,129.6875,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Infrequent,Origin,DFW,4,7,703,ao'donnell@vizpainter.com,2020/10/28,2020/11/7,AS-10285,Delta,188,DFW-MCO,Economy,Anthony O'Donnell,Anthony O'Donnell,149,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,MCO,4,7,703,ao'donnell@vizpainter.com,2020/10/28,2020/11/7,AS-10285,Delta,188,DFW-MCO,Economy,Anthony O'Donnell,Anthony O'Donnell,149,MCO,Orlando International Airport,28.42939949,-81.30899811
Infrequent,Origin,DFW,2,8,8960,rbierner@vizpainter.com,2021/9/23,2021/11/30,RO-19780,American,124,DFW-GRB,Economy,Richard Bierner,Richard Bierner,167.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,GRB,2,8,8960,rbierner@vizpainter.com,2021/9/23,2021/11/30,RO-19780,American,124,DFW-GRB,Economy,Richard Bierner,Richard Bierner,167.5,GRB,Austin Straubel International Airport,44.48509979,-88.12960052
Frequent,Origin,DFW,13,9,1277,mo'connel@vizpainter.com,2020/4/23,2020/5/26,MS-17710,American,456,DFW-HIO,Business,Meg O'Connel,Meg O'Connel,172.692307692,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,HIO,13,9,1277,mo'connel@vizpainter.com,2020/4/23,2020/5/26,MS-17710,American,456,DFW-HIO,Business,Meg O'Connel,Meg O'Connel,172.692307692,HIO,Portland Hillsboro Airport,45.540401,-122.949997
Casual,Origin,DFW,10,10,3907,tboeckenhauer@vizpainter.com,2019/3/29,2019/4/10,VT-21700,American,345,DFW-MCO,Economy,Tom Boeckenhauer,Tom Boeckenhauer,174.2,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,MCO,10,10,3907,tboeckenhauer@vizpainter.com,2019/3/29,2019/4/10,VT-21700,American,345,DFW-MCO,Economy,Tom Boeckenhauer,Tom Boeckenhauer,174.2,MCO,Orlando International Airport,28.42939949,-81.30899811
Casual,Origin,DFW,7,11,3575,jsundaresam@vizpainter.com,2021/5/27,2021/8/12,JW-15955,American Airlines,259,DFW-CMH,Economy,Joni Sundaresam,Joni Sundaresam,143,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,CMH,7,11,3575,jsundaresam@vizpainter.com,2021/5/27,2021/8/12,JW-15955,American Airlines,259,DFW-CMH,Economy,Joni Sundaresam,Joni Sundaresam,143,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Frequent,Origin,DFW,14,12,4484,tturnell@vizpainter.com,2020/8/8,2020/11/8,XP-21865,AA,163,DFW-COS,Economy,Tonja Turnell,Tonja Turnell,174.571428571,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,COS,14,12,4484,tturnell@vizpainter.com,2020/8/8,2020/11/8,XP-21865,AA,163,DFW-COS,Economy,Tonja Turnell,Tonja Turnell,174.571428571,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Casual,Origin,DFW,9,13,2010,jfrazer@vizpainter.com,2018/10/6,2018/11/21,JF-15190,United,246,DFW-GRB,Economy,Jamie Frazer,Jamie Frazer,245.888888889,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,GRB,9,13,2010,jfrazer@vizpainter.com,2018/10/6,2018/11/21,JF-15190,United,246,DFW-GRB,Economy,Jamie Frazer,Jamie Frazer,245.888888889,GRB,Austin Straubel International Airport,44.48509979,-88.12960052
Infrequent,Origin,DFW,2,14,1025,hpawlan@vizpainter.com,2021/11/19,2021/12/20,HR-14770,United,212,DFW-SEA,Business,Harold Pawlan,Harold Pawlan,172.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,SEA,2,14,1025,hpawlan@vizpainter.com,2021/11/19,2021/12/20,HR-14770,United,212,DFW-SEA,Business,Harold Pawlan,Harold Pawlan,172.5,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Casual,Origin,DFW,8,15,1526,fharton@vizpainter.com,2019/11/15,2019/12/11,GH-14425,Delta,338,DFW-CMH,Business,Fred Harton,Fred Harton,179.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,CMH,8,15,1526,fharton@vizpainter.com,2019/11/15,2019/12/11,GH-14425,Delta,338,DFW-CMH,Business,Fred Harton,Fred Harton,179.5,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Infrequent,Origin,DFW,4,16,9534,bhoffman@vizpainter.com,2020/10/22,2020/10/31,BW-11200,United,178,DFW-BUR,Economy,Brosina Hoffman,Brosina Hoffman,198.25,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,BUR,4,16,9534,bhoffman@vizpainter.com,2020/10/22,2020/10/31,BW-11200,United,178,DFW-BUR,Economy,Brosina Hoffman,Brosina Hoffman,198.25,BUR,Bob Hope Airport,34.20069885,-118.3590012
Infrequent,Origin,DFW,4,17,676,psewall@vizpainter.com,2021/10/22,2021/12/8,RB-19570,United,309,DFW-HIO,Business,Penelope Sewall,Penelope Sewall,181.75,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,HIO,4,17,676,psewall@vizpainter.com,2021/10/22,2021/12/8,RB-19570,United,309,DFW-HIO,Business,Penelope Sewall,Penelope Sewall,181.75,HIO,Portland Hillsboro Airport,45.540401,-122.949997
Infrequent,Origin,DFW,2,18,9003,as,2018/8/30,2018/12/9,EM-13825,United,166,DFW-COS,Economy,Emily Grady,Emily Grady,127.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,COS,2,18,9003,as,2018/8/30,2018/12/9,EM-13825,United,166,DFW-COS,Economy,Emily Grady,Emily Grady,127.5,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Casual,Origin,DFW,5,19,4848,fwasserman@vizpainter.com,2018/5/29,2018/6/27,GK-14620,American Airlines,216,DFW-CMH,Economy,Fred Wasserman,Fred Wasserman,126,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,CMH,5,19,4848,fwasserman@vizpainter.com,2018/5/29,2018/6/27,GK-14620,American Airlines,216,DFW-CMH,Economy,Fred Wasserman,Fred Wasserman,126,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Extreme,Origin,DFW,18,20,1925,mlee@vizpainter.com,2021/12/1,2021/12/7,NP-18325,American Airlines,347,DFW-COS,Business,Muhammed Lee,Muhammed Lee,168.111111111,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Extreme,Destination,COS,18,20,1925,mlee@vizpainter.com,2021/12/1,2021/12/7,NP-18325,American Airlines,347,DFW-COS,Business,Muhammed Lee,Muhammed Lee,168.111111111,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Frequent,Origin,DFW,12,21,2609,lpelletier,2018/11/1,2018/11/30,MC-17590,United,180,DFW-IAD,Business,Liz Pelletier,Liz Pelletier,151.416666667,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,IAD,12,21,2609,lpelletier,2018/11/1,2018/11/30,MC-17590,United,180,DFW-IAD,Business,Liz Pelletier,Liz Pelletier,151.416666667,IAD,Washington Dulles International Airport,38.94449997,-77.45580292
Frequent,Origin,DFW,13,22,2454,creiten@vizpainter.com,2021/2/19,2021/3/22,DB-13405,American,226,DFW-HIO,Economy,Cyra Reiten,Cyra Reiten,151.769230769,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,HIO,13,22,2454,creiten@vizpainter.com,2021/2/19,2021/3/22,DB-13405,American,226,DFW-HIO,Economy,Cyra Reiten,Cyra Reiten,151.769230769,HIO,Portland Hillsboro Airport,45.540401,-122.949997
